username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-06-24 03:20;0;6;"Uyyy looks like someone's enjoying her last days here in Braavos #AryaStark #TeamStark pic.twitter.com/741rA6B8FG";;;#AryaStark #TeamStark;"746150996913487872";https://twitter.com/adriandguzman/status/746150996913487872
;2016-06-24 03:17;2;3;"Someone tell Arya Stark to put Sunderland on her kill list";;;;"746150342547619840";https://twitter.com/AfrinC_1/status/746150342547619840
;2016-06-24 03:12;0;0;"arya stark https:// twitter.com/arthurcestmoi/ status/746111155073073152 …";;;;"746148890534154240";https://twitter.com/aryastvrk_/status/746148890534154240
;2016-06-24 03:10;1;1;"olha eu acho que se arya stark depois daquelas facadas sobreviveu e ainda fez parkour depois tudo se tornou possível https:// twitter.com/dobrewalker/st atus/745062210309758976 …";;;;"746148338832125952";https://twitter.com/nelsontheroad/status/746148338832125952
;2016-06-24 03:06;0;1;"Arya Stark se puso buena pic.twitter.com/MGME31bEFG";;;;"746147511803379712";https://twitter.com/ricardovn94/status/746147511803379712
;2016-06-24 03:02;0;6;"Here's a fun game I like to play called "Shea or Arya Stark ?" @Shea_Milne @Maisie_Williams pic.twitter.com/FhYtbwqKSp";;@Shea_Milne @Maisie_Williams;;"746146379337109506";https://twitter.com/WhoisNickJarvis/status/746146379337109506
;2016-06-24 03:00;12;5;"Mi Tweet más retwitteado https:// twitter.com/AryaStark_VE/s tatus/746023839881138176 … 126 RTs [últimas 24h] #TuitUtil http://www. tuitutil.net";;;#TuitUtil;"746145927526748160";https://twitter.com/AryaStark_VE/status/746145927526748160
;2016-06-24 03:00;0;3;"2 Tweets retwitteados y un total de 129 RTs [últimas 24h] #TuitUtil http://www. tuitutil.net";;;#TuitUtil;"746145926847270912";https://twitter.com/AryaStark_VE/status/746145926847270912
;2016-06-24 02:56;1;1;"ARYA STARK , QUE MULHER!";;;;"746144911850901504";https://twitter.com/_lucsleal/status/746144911850901504
;2016-06-24 02:53;2;4;"Entirely possible that Thon Maker, the #Bucks new No. 1 pick weighs less than Arya Stark .";;;#Bucks;"746144101033250817";https://twitter.com/TomKessenich/status/746144101033250817
;2016-06-24 02:52;14;57;"giving away falstad skincode to who can guess which one is quack and which one is arya stark pic.twitter.com/6incfPVOMW";;;;"746143838608175104";https://twitter.com/FnaticBreez/status/746143838608175104
;2016-06-24 02:50;0;2;"A GIRL IS ARYA STARK";;;;"746143434944176128";https://twitter.com/SCARYMVRY/status/746143434944176128
;2016-06-24 02:48;0;0;"I need more Arya Stark in my life. Please tell me she will be in the finale on Sunday. @Maisie_Williams";;@Maisie_Williams;;"746142805156823041";https://twitter.com/DazoMusicFan/status/746142805156823041
;2016-06-24 02:29;1;1;"arya stark | wundatrip cc; nuur salvatore (listen with headphones) (Vine by @THESOPHlETURNER ) https:// vine.co/v/iLjwXD7zeEl";;@THESOPHlETURNER;;"746138046702182400";https://twitter.com/agirlissomeone/status/746138046702182400
;2016-06-24 02:15;0;0;"Arya Stark çıktım acaba cüce ne dinliyo https://www. spotify-gameofthrones.com/share?playlist ID=49E5u1p9CwUQ4mb6Ed4IEY … #SpotifyGameOfThrones";;;#SpotifyGameOfThrones;"746134711395844096";https://twitter.com/detefabella/status/746134711395844096
;2016-06-24 02:12;2;0;"Tonight, I am Political Arya Stark . "Swindon. Broxbourne. Sunderland. Kettering..."";;;;"746133919918067712";https://twitter.com/theherogram/status/746133919918067712
;2016-06-24 02:11;0;1;"did he tell you that arya stark dies?";;;;"746133724023164928";https://twitter.com/Koxielny/status/746133724023164928
;2016-06-24 01:52;0;0;"lordcommander-snow: Arya Stark and Jon Snow parallel. https:// tmblr.co/ZlpKFx28KtoZw";;;;"746128714845552644";https://twitter.com/H_Felemban/status/746128714845552644
;2016-06-24 01:46;4;4;"El acero valyrio ya no es lo que era :( pic.twitter.com/0tKs174I9v";;;;"746127319639687168";https://twitter.com/_AryaStark_/status/746127319639687168
;2016-06-24 01:37;8;1;"@Anons_Vzla @AryaStark _VE Bien Claro! La VIOLENCIA es el arma de los que NO tienen la Razón! Más pruebas? #YoRevoco https:// twitter.com/la_patilla/sta tus/746122280443461632 …";;@Anons_Vzla @AryaStark;#YoRevoco;"746125148227514369";https://twitter.com/JC354RMCH/status/746125148227514369
;2016-06-24 01:28;0;0;"Jaqen looks like a mentor who is proud of his student when she says "A girl is Arya Stark of Winterfell and I'm going home." #gameofthrones";;;#gameofthrones;"746122774482194432";https://twitter.com/perhapsonedaykc/status/746122774482194432
;2016-06-24 01:19;0;1;""A girl is Arya Stark of Winterfell, and I’m going home" pic.twitter.com/ItKB2CDO4J";;;;"746120408282300417";https://twitter.com/szaleel/status/746120408282300417
;2016-06-24 01:06;0;0;"Jeg kunne lide en video på @YouTube http:// youtu.be/SnQZFoNsJ68?a Maisie Williams (aka Arya Stark ) Pranks Game of Thrones Fans";;@YouTube;;"746117173593137152";https://twitter.com/RasmusS51/status/746117173593137152
;2016-06-24 00:50;1;0;"Encontramos las pruebas de que Arya Stark es Batman >> http:// ow.ly/3vXA301s4bv pic.twitter.com/Znnf3J3uuR";;;;"746113154317488128";https://twitter.com/El_Mostacho/status/746113154317488128
;2016-06-24 00:46;0;1;"Arya Stark Of Winterfell #GameofThrones #AryaStark #Winterfell pic.twitter.com/BvI3SOTp0r";;;#GameofThrones #AryaStark #Winterfell;"746112337363472384";https://twitter.com/XD_HTC/status/746112337363472384
;2016-06-24 00:46;0;1;"has arya stark taught you nothing. Size is irrelevant. Just get a sword";;;;"746112329918615552";https://twitter.com/ArshpreetAFC/status/746112329918615552
;2016-06-24 00:30;0;10;"Maisie Williams AKA Arya Stark Just Threw Up Her First Bikini Selfie Onto Instagram And Her Caption Is A+ http:// brobible.it/28SzExZ";;;;"746108158930784256";https://twitter.com/BroBible/status/746108158930784256
;2016-06-24 00:24;0;0;"Number crunching for the past day - 7 new followers and 26 unfollowers. Stats via http://www. crowdfireapp.com/?r=td";;;;"746106641788067840";https://twitter.com/arya_stark_69/status/746106641788067840
;2016-06-24 00:24;1;0;"ночи";;;;"746106583684349954";https://twitter.com/prvrns/status/746106583684349954
;2016-06-24 00:14;1;0;"RT AryaStark _VE: SALVAR a #VENEZUELA es cuestión de #LegítimaDEFENSA y CUALQUIER medio es CONSTITUCIONAL .EAristeguieta #TerceraVÍA http…";;;#VENEZUELA #Leg #TerceraV;"746104101776285696";https://twitter.com/ju_s_ticiaYA/status/746104101776285696
;2016-06-24 00:01;0;0;"Arya is all "MUH NAME IS ARYA STARK OF WINTERFELL, PEACE JAQEN" but she's about to be Very Not Starky by crossing those names off her list.";;;;"746100820563857408";https://twitter.com/SamRS72/status/746100820563857408
;2016-06-23 23:58;0;1;"Comme Arya Stark quand elle est aveugle.";;;;"746100243754786816";https://twitter.com/fvanhove/status/746100243754786816
;2016-06-23 23:48;0;1;"comme Arya Stark";;;;"746097727549898757";https://twitter.com/olibeur/status/746097727549898757
;2016-06-23 23:44;0;1;"Je suis Arya Stark avec le meme quizz que toi mdr";;;;"746096649815097344";https://twitter.com/RoseandRose8/status/746096649815097344
;2016-06-23 23:42;0;1;"Martell is the Arya Stark of recruiting. https:// twitter.com/CollegeSpun/st atus/746095190675496960 …";;;;"746096141608062977";https://twitter.com/Dan_Lyons76/status/746096141608062977
;2016-06-23 23:40;3;1;"I liked a @YouTube video from @RaYaNxxGaMeR https:// youtu.be/dH0JjZG7FV8 Aryastark suffering";;@YouTube @RaYaNxxGaMeR;;"746095572113891328";https://twitter.com/still_wael/status/746095572113891328
;2016-06-23 23:37;0;2;"4some w Egrit, Margaery, Dragon lady and I'm ashamed to say this but Arya Stark , when she grows up a bit https:// twitter.com/x24Ever/status /746086886771286017 …";;;;"746094931425492992";https://twitter.com/fitbottomgirl/status/746094931425492992
;2016-06-23 23:35;0;1;"SPOILER #GameOfThrones Gendry is coming back and will have a love story with Arya Stark as he told her on the crypt !";;;#GameOfThrones;"746094292016504832";https://twitter.com/RoseandRose8/status/746094292016504832
;2016-06-23 23:34;0;1;"SPOILER #GameofThrones Gendry va revenir et il va avoir une histoire d'amour avec Arya Stark comme il lui avait dit dans la grotte";;;#GameofThrones;"746094202266726400";https://twitter.com/RoseandRose8/status/746094202266726400
;2016-06-23 23:33;0;0;"E-COLLECTOR : 2016 Game of Thrones Season 5 Trading Cards Autograph Maisie Williams as Arya Stark (Visit the ... http:// amzn.to/290JEBj";;;;"746093843573940224";https://twitter.com/bXid/status/746093843573940224
;2016-06-23 23:33;0;0;"E-COLLECTOR : 2016 Game of Thrones Season 5 Trading Cards Autograph Maisie Williams as Arya Stark (Visit the ... http:// amzn.to/290JEBj";;;;"746093836586225664";https://twitter.com/higto/status/746093836586225664
;2016-06-23 23:31;0;0;"New in the Square Penguin Shop! >> A Girl has No Name - Badge/Magnet - Arya Stark - Quotes - Game of Thrones - TV… http:// ift.tt/1sUROEc";;;;"746093276537688064";https://twitter.com/SquarePenguinHQ/status/746093276537688064
;2016-06-23 23:29;1;4;"—Finalmente una chica es nadie. —Una chica es Arya Stark de Invernalia y vuelvo a mi casa. #OléTú #JuegoDeTronos pic.twitter.com/iDuFyV0CXF";;;#Ol #JuegoDeTronos;"746092876854136832";https://twitter.com/SrLusty/status/746092876854136832
;2016-06-23 23:24;0;0;"“A girl is Arya Stark of Winterfell, and I’m going home.” https:// tmblr.co/Z8tx2i28KXEhf";;;;"746091481673383936";https://twitter.com/cheyes101/status/746091481673383936
;2016-06-23 23:23;4;3;"GOD DAMMIT! Been 5 years. Reunite her with her brother again will you? #aryaisgoinghome #AryaStark #GameofThrones pic.twitter.com/Quu51gdd1M";;;#aryaisgoinghome #AryaStark #GameofThrones;"746091420981800960";https://twitter.com/SidThor/status/746091420981800960
;2016-06-23 23:17;0;1;"Feliz verbena!!!! Dracarys pic.twitter.com/cKvtj2XwWN";;;;"746089792941727744";https://twitter.com/_AryaStark_/status/746089792941727744
;2016-06-23 23:12;0;0;"Will Arya Stark have any role in "The War to Come"? http:// dlvr.it/LddjFx pic.twitter.com/s1rC0JDI0h";;;;"746088506447933440";https://twitter.com/maazuddiin/status/746088506447933440
;2016-06-23 23:12;0;0;"Confirmed. #got #gameofthrones #batman #aryastark https://www. instagram.com/p/BHAvnvrBDQf/";;;#got #gameofthrones #batman #aryastark;"746088478413205504";https://twitter.com/corny_13/status/746088478413205504
;2016-06-23 22:50;0;0;"Retweeted Arya Stark ( @AryaStark _VE ): SALVAR a #VENEZUELA es cuestión de #LegítimaDEFENSA y CUALQUIER medio es... http:// fb.me/5E5JqFrdi";;@AryaStark;#VENEZUELA #Leg;"746082943123132416";https://twitter.com/enzoarrieta/status/746082943123132416
;2016-06-23 22:40;0;1;"I don't need saving . #AryaStark";;;#AryaStark;"746080577640603648";https://twitter.com/reffooo90/status/746080577640603648
;2016-06-23 22:30;2;1;"Cuando #AryaStark va a comprar café... #GameofThrones pic.twitter.com/lg54HSUMZE";;;#AryaStark #GameofThrones;"746078118465642498";https://twitter.com/MedicenHely/status/746078118465642498
;2016-06-23 22:20;0;3;"Cuando tu gata se transforma en Koala. #AryaStark is real. pic.twitter.com/tyKjbgIJtT";;;#AryaStark;"746075498271367168";https://twitter.com/Jonaslen/status/746075498271367168
;2016-06-23 22:16;0;3;"Arya Stark es un personaje MUY grande.";;;;"746074588640055296";https://twitter.com/LauraLoundix3/status/746074588640055296
;2016-06-23 22:16;1;1;"@StephenAtHome Book Maisie Williams and Robert Downey Jr on the same show, and do a sketch where Tony Stark meets Arya Stark";;@StephenAtHome;;"746074544654401540";https://twitter.com/smendler/status/746074544654401540
;2016-06-23 22:16;0;4;"My sister is so talented! Had to share cuz... Arya Stark https://www. instagram.com/p/BHAStR1JtNm/";;;;"746074497783070720";https://twitter.com/Stuberger_/status/746074497783070720
;2016-06-23 22:13;0;0;"I liked a @YouTube video http:// youtu.be/J6l9oS16S1I?a Game of Thrones 6x08 - Arya Stark vs. the Waif";;@YouTube;;"746073812014342144";https://twitter.com/randyhartono/status/746073812014342144
;2016-06-23 22:11;0;0;"How to break my heart, being; 1. ROB STARK 2. SANSA STARK 3. ARYA STARK 4. BRAN STARK 5. JON SNOW 6. (and maybe toni stark) hm ._.";;;;"746073137574354944";https://twitter.com/PutriSntso/status/746073137574354944
